FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
31380,US,WPNH357,12,6226.89,30
31381,US,WPNH357,12,6286.19,30
31382,US,WPNH357,14,6286.19,30
31383,US,WPNH357,14,6404.79,30
31384,US,WPNH357,15,6315.84,30
31385,US,WPNH357,16,6197.24,30
31386,US,WPNH357,16,6256.54,30
31387,US,WPNH357,17,6226.89,30
31388,US,WPNH357,17,6286.19,30
31389,US,WPNH358,2,5945.2,30
31390,US,WPNH358,2,6004.5,30
31391,US,WPNH358,3,6315.84,30
31392,US,WPNH358,3,6375.14,30
31393,US,WPNH358,4,6315.84,30
31394,US,WPNH358,4,6375.14,30
31395,US,WPNH358,5,5945.2,30
31396,US,WPNH358,5,6004.5,30
31397,US,WPNH358,6,5974.85,30
31398,US,WPNH358,6,6034.15,30
31399,US,WPNH358,7,6315.84,30
31400,US,WPNH358,7,6375.14,30
31401,US,WPNH358,8,6555,30
31402,US,WPNH358,9,6655,30
31403,US,WPNH358,10,5945.2,30
31404,US,WPNH358,10,6004.5,30
31405,US,WPNH358,11,5974.85,30
31406,US,WPNH358,11,6034.15,30
31407,US,WPNH359,1,6860,4.94
31408,US,WPNH360,2,6700,4.94
31409,US,WPNH360,3,6152.75,30
31410,US,WPNH360,4,5974.85,30
31411,US,WPNH360,5,6063.8,30
31412,US,WPNH360,5,6123.1,30
31413,US,WPNH360,6,6123.1,30
31414,US,WPNH360,6,6152.75,30
31415,US,WPNH360,7,5945.2,30
31416,US,WPNH360,7,6004.5,30
31417,US,WPNH360,8,5945.2,30
31418,US,WPNH360,8,6034.15,30
31419,US,WPNH360,9,6004.5,30
31420,US,WPNH360,9,6063.8,30
31421,US,WPNH360,10,6063.8,30
31422,US,WPNH360,10,6123.1,30
31423,US,WPNH360,12,6063.8,30
31424,US,WPNH360,12,6123.1,30
31425,US,WPNH360,13,6123.1,30
31426,US,WPNH360,14,6152.75,30
31427,US,WPNH360,15,6725,30
31428,US,WPNH360,16,6815,30
31429,US,WPNH360,17,5945.2,30
31430,US,WPNH360,17,6034.15,30
31431,US,WPNH360,18,6004.5,30
31432,US,WPNH360,18,6063.8,30
31433,US,WPNH360,19,6123.1,30
31434,US,WPNH360,20,6093.45,30
31435,US,WPNH360,20,6152.75,30
31436,US,WPNH362,5,6197.24,30
31437,US,WPNH363,10,6004.5,30
31438,US,WPNH363,10,6063.8,30
31439,US,WPNH363,11,6123.1,30
31440,US,WPNH363,15,6152.75,30
31441,US,WPNH363,16,6595,30
31442,US,WPNH363,17,6063.8,30
31443,US,WPNH363,18,6093.45,30
31444,US,WPNH363,19,6555,30
31445,US,WPNH364,3,5945.2,30
31446,US,WPNH365,1,5945.2,30
31447,US,WPNH369,2,6256.54,10
31448,US,WPNH371,5,6256.54,30
31449,US,WPNH373,4,6345.49,30
31450,US,WPNH373,5,6256.54,30
31451,US,WPNH373,6,6286.19,30
31452,US,WPNH373,7,6315.84,30
31453,US,WPNH377,2,5945.2,27.3
31454,US,WPNH398,4,6595,30
31455,US,WPNH399,4,6256.54,27.3
31456,US,WPNH409,2,6605,10
31457,US,WPNH409,2,6635,10
